                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3991,                 6.2682,                 4.1727,                 0.0003,                0.13889,                0.00059,                0.00025,                  3.894,                 5.8173,                 4.1509,             0.00028339,             0.00028339,             0.00028339
                      2,                 3.4378,                 5.6252,                 4.0883,                0.00024,                0.11111,                0.00061,                0.00038,                  3.969,                 5.1431,                 4.0883,             0.00058287,             0.00058287,             0.00058287
                      3,                 3.3663,                 5.3748,                 3.9095,                0.00036,                0.16667,                0.00064,                0.00034,                  3.702,                 4.9433,                 3.9258,             0.00088176,             0.00088176,             0.00088176
                      4,                 3.1997,                 5.0142,                  3.747,                0.00024,                0.11111,                0.00045,                0.00021,                 3.5081,                 6.2142,                 3.5297,              0.0011801,              0.0011801,              0.0011801
                      5,                 3.1855,                 4.7639,                 3.5906,                0.00034,                0.19444,                0.00068,                 0.0004,                 3.2942,                 5.6542,                 3.3273,              0.0014778,              0.0014778,              0.0014778
                      6,                 3.3038,                 4.9046,                 3.5277,                0.00036,                0.22222,                0.00073,                0.00025,                  2.952,                 5.9903,                 3.3896,              0.0016587,              0.0016587,              0.0016587
                      7,                 3.1546,                 4.6123,                 3.4184,                0.00041,                   0.25,                0.00327,                0.00075,                 2.8791,                 6.1738,                 3.1824,              0.0016587,              0.0016587,              0.0016587
                      8,                 3.3208,                 4.6222,                  3.359,                0.00046,                0.27778,                0.00068,                0.00026,                 2.9609,                 5.2903,                 3.0394,              0.0016571,              0.0016571,              0.0016571
                      9,                 3.2121,                 4.5648,                 3.3057,                0.00095,                   0.25,                 0.0013,                0.00042,                 3.0387,                 7.5346,                 3.2482,              0.0016554,              0.0016554,              0.0016554
                     10,                 3.1726,                 4.4608,                 3.1574,                0.00056,                0.27778,                0.00286,                 0.0008,                 3.0754,                 5.0954,                 3.0458,              0.0016538,              0.0016538,              0.0016538
                     11,                  3.206,                 4.2683,                 3.1113,                0.00059,                0.22222,                0.00199,                0.00057,                 3.0808,                 6.5857,                 3.1881,              0.0016521,              0.0016521,              0.0016521
                     12,                 3.3052,                 4.3755,                 3.1254,                0.00088,                0.27778,                0.00164,                0.00059,                 2.9736,                 4.6876,                 3.2085,              0.0016505,              0.0016505,              0.0016505
                     13,                 3.2551,                  4.351,                  3.088,                0.00032,                0.19444,                0.00025,                  9e-05,                 3.1375,                 5.5661,                 2.8836,              0.0016488,              0.0016488,              0.0016488
                     14,                  3.205,                 4.3425,                 3.0453,                0.00032,                0.19444,                0.00037,                0.00012,                 3.0118,                 6.1111,                 2.8967,              0.0016472,              0.0016472,              0.0016472
                     15,                 3.2479,                  4.319,                 2.9874,                0.00049,                0.22222,                0.00324,                0.00159,                 2.7542,                 4.5899,                 3.0031,              0.0016455,              0.0016455,              0.0016455
                     16,                 3.1303,                 4.1785,                 2.9875,                0.00033,                0.13889,                  0.001,                0.00046,                 2.8871,                 4.9374,                 3.1597,              0.0016439,              0.0016439,              0.0016439
                     17,                 3.1062,                 4.1941,                 2.9999,                0.00063,                0.22222,                0.00218,                 0.0012,                 2.8846,                 4.9653,                 3.2014,              0.0016422,              0.0016422,              0.0016422
                     18,                 3.1296,                 4.2475,                 3.1017,                0.00066,                0.22222,                0.00404,                0.00151,                 2.7989,                 4.8044,                  2.741,              0.0016406,              0.0016406,              0.0016406
                     19,                 3.0765,                 4.1658,                 2.9311,                0.00079,                   0.25,                0.00093,                0.00034,                 2.7524,                 5.0582,                 3.0858,              0.0016389,              0.0016389,              0.0016389
                     20,                 3.0453,                 4.1868,                 2.9418,                 0.0004,                0.19444,                0.00049,                0.00018,                 2.9894,                 4.3458,                 3.0642,              0.0016373,              0.0016373,              0.0016373
                     21,                 2.9226,                 4.1041,                 2.9131,                0.00041,                   0.25,                0.00128,                0.00038,                 2.6262,                 5.0057,                 2.6355,              0.0016356,              0.0016356,              0.0016356
                     22,                 2.9514,                 4.2247,                 2.9638,                0.00292,                0.33333,                0.00251,                0.00094,                 2.7658,                  4.619,                 2.6449,               0.001634,               0.001634,               0.001634
                     23,                 2.8167,                 4.1164,                 2.9177,                 0.0037,                0.36111,                0.00425,                0.00141,                 3.2771,                 4.7874,                  3.502,              0.0016323,              0.0016323,              0.0016323
                     24,                 2.7998,                 4.2025,                 3.0012,                0.00158,                0.44444,                0.00452,                 0.0013,                 2.6821,                 4.7633,                 2.7166,              0.0016307,              0.0016307,              0.0016307
                     25,                 2.8727,                 3.9776,                 2.9937,                0.00054,                0.33333,                0.00419,                0.00098,                 2.9137,                 5.8954,                 2.8652,               0.001629,               0.001629,               0.001629
